# Exact Riemann solution for problem: 3
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 5.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e+03]
# Right state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e-02]
# Time: 1.20000e-02
                x              dens              pres              velx              eint              cspd
  5.000000000e-03   1.000000000e+00   1.000000000e+03   0.000000000e+00   2.500000000e+03   3.741657387e+01
  1.500000000e-02   1.000000000e+00   1.000000000e+03   0.000000000e+00   2.500000000e+03   3.741657387e+01
  2.500000000e-02   1.000000000e+00   1.000000000e+03   0.000000000e+00   2.500000000e+03   3.741657387e+01
  3.500000000e-02   1.000000000e+00   1.000000000e+03   0.000000000e+00   2.500000000e+03   3.741657387e+01
  4.500000000e-02   1.000000000e+00   1.000000000e+03   0.000000000e+00   2.500000000e+03   3.741657387e+01
  5.500000000e-02   9.926001443e-01   9.896555570e+02   2.777004453e-01   2.492583652e+03   3.736103378e+01
  6.500000000e-02   9.742869542e-01   9.641878229e+02   9.721448898e-01   2.474085840e+03   3.722214489e+01
  7.500000000e-02   9.562450656e-01   9.392839254e+02   1.666589334e+00   2.455656921e+03   3.708325600e+01
  8.500000000e-02   9.384714529e-01   9.149334233e+02   2.361033779e+00   2.437296895e+03   3.694436711e+01
  9.500000000e-02   9.209631128e-01   8.911260310e+02   3.055478223e+00   2.419005763e+03   3.680547822e+01
  1.050000000e-01   9.037170650e-01   8.678516160e+02   3.749922668e+00   2.400783524e+03   3.666658933e+01
  1.150000000e-01   8.867303513e-01   8.451001980e+02   4.444367112e+00   2.382630178e+03   3.652770045e+01
  1.250000000e-01   8.700000358e-01   8.228619465e+02   5.138811556e+00   2.364545726e+03   3.638881156e+01
  1.350000000e-01   8.535232050e-01   8.011271794e+02   5.833256001e+00   2.346530167e+03   3.624992267e+01
  1.450000000e-01   8.372969674e-01   7.798863615e+02   6.527700445e+00   2.328583501e+03   3.611103378e+01
  1.550000000e-01   8.213184537e-01   7.591301024e+02   7.222144890e+00   2.310705729e+03   3.597214489e+01
  1.650000000e-01   8.055848166e-01   7.388491551e+02   7.916589334e+00   2.292896849e+03   3.583325600e+01
  1.750000000e-01   7.900932305e-01   7.190344144e+02   8.611033779e+00   2.275156863e+03   3.569436711e+01
