# Exact Riemann solution for problem: 4
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 4.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [5.99924e+00, 1.95975e+01, 4.60894e+02]
# Right state [dens,velx,pres]: [5.99242e+00, -6.19633e+00, 4.60950e+01]
# Time: 3.50000e-02
                x              dens              pres              velx              eint              cspd
  5.000000000e-03   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  4.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  5.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  6.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  7.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  8.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  9.500000000e-02   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.050000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.150000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.250000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.350000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.450000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.550000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.650000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.750000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.850000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  1.950000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.050000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.150000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.250000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.350000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.450000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.550000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.650000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.750000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.850000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  2.950000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.050000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.150000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.250000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.350000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.450000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.550000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.650000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.750000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.850000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  3.950000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  4.050000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  4.150000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  4.250000000e-01   5.999240000e+00   4.608940000e+02   1.959750000e+01   1.920634947e+02   1.037089953e+01
  4.350000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.450000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.550000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.650000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.750000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.850000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  4.950000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.050000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.150000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.250000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.350000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.450000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
