# Exact Riemann solution for problem: 5
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 8.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.00000e+00, -1.95974e+01, 1.00000e+03]
# Right state [dens,velx,pres]: [1.00000e+00, -1.95974e+01, 1.00000e-02]
# Time: 1.20000e-02
                x              dens              pres              velx              eint              cspd
  5.000000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  4.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  5.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  6.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  7.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  8.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  9.500000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.050000000e-01   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.150000000e-01   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.250000000e-01   9.830992625e-01   9.764192174e+02  -1.896076344e+01   2.483012791e+03   3.728923656e+01
  1.350000000e-01   9.649266981e-01   9.512442663e+02  -1.826631900e+01   2.464550593e+03   3.715034767e+01
  1.450000000e-01   9.470238684e-01   9.266277348e+02  -1.757187455e+01   2.446157287e+03   3.701145878e+01
  1.550000000e-01   9.293877592e-01   9.025592624e+02  -1.687743011e+01   2.427832875e+03   3.687256989e+01
  1.650000000e-01   9.120153793e-01   8.790286428e+02  -1.618298567e+01   2.409577357e+03   3.673368100e+01
  1.750000000e-01   8.949037596e-01   8.560258225e+02  -1.548854122e+01   2.391390732e+03   3.659479211e+01
  1.850000000e-01   8.780499535e-01   8.335408988e+02  -1.479409678e+01   2.373273000e+03   3.645590322e+01
  1.950000000e-01   8.614510368e-01   8.115641181e+02  -1.409965233e+01   2.355224161e+03   3.631701433e+01
  2.050000000e-01   8.451041072e-01   7.900858745e+02  -1.340520789e+01   2.337244216e+03   3.617812545e+01
  2.150000000e-01   8.290062849e-01   7.690967077e+02  -1.271076344e+01   2.319333164e+03   3.603923656e+01
  2.250000000e-01   8.131547118e-01   7.485873019e+02  -1.201631900e+01   2.301491005e+03   3.590034767e+01
  2.350000000e-01   7.975465519e-01   7.285484834e+02  -1.132187455e+01   2.283717739e+03   3.576145878e+01
  2.450000000e-01   7.821789911e-01   7.089712197e+02  -1.062743011e+01   2.266013367e+03   3.562256989e+01
  2.550000000e-01   7.670492368e-01   6.898466173e+02  -9.932985666e+00   2.248377888e+03   3.548368100e+01
  2.650000000e-01   7.521545185e-01   6.711659205e+02  -9.238541221e+00   2.230811303e+03   3.534479211e+01
  2.750000000e-01   7.374920870e-01   6.529205095e+02  -8.544096777e+00   2.213313610e+03   3.520590322e+01
  2.850000000e-01   7.230592148e-01   6.351018989e+02  -7.849652332e+00   2.195884811e+03   3.506701433e+01
  2.950000000e-01   7.088531956e-01   6.177017364e+02  -7.155207888e+00   2.178524906e+03   3.492812545e+01
  3.050000000e-01   6.948713447e-01   6.007118006e+02  -6.460763444e+00   2.161233893e+03   3.478923656e+01
  3.150000000e-01   6.811109986e-01   5.841240002e+02  -5.766318999e+00   2.144011774e+03   3.465034767e+01
  3.250000000e-01   6.675695149e-01   5.679303717e+02  -5.071874555e+00   2.126858548e+03   3.451145878e+01
  3.350000000e-01   6.542442723e-01   5.521230786e+02  -4.377430110e+00   2.109774216e+03   3.437256989e+01
  3.450000000e-01   6.411326707e-01   5.366944095e+02  -3.682985666e+00   2.092758777e+03   3.423368100e+01
  3.550000000e-01   6.282321308e-01   5.216367763e+02  -2.988541221e+00   2.075812231e+03   3.409479211e+01
  3.650000000e-01   6.155400940e-01   5.069427135e+02  -2.294096777e+00   2.058934578e+03   3.395590322e+01
  3.750000000e-01   6.030540226e-01   4.926048759e+02  -1.599652332e+00   2.042125819e+03   3.381701433e+01
  3.850000000e-01   5.907713997e-01   4.786160377e+02  -9.052078880e-01   2.025385953e+03   3.367812545e+01
  3.950000000e-01   5.786897288e-01   4.649690908e+02  -2.107634436e-01   2.008714980e+03   3.353923656e+01
  4.050000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.150000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.250000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.350000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.450000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.550000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.650000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.750000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.850000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  4.950000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.050000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.150000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.250000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.350000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.450000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.550000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.650000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
  5.750000000e-01   5.750622985e-01   4.608937875e+02   1.389610345e-06   2.003668945e+03   3.349708359e+01
